source,target,distance
Минск,Новополоцк,125.31835795473638
Минск,Могилёв,191.53563724755188
Минск,Слуцк,54.352190079217095
Минск,Барановичи,119.02590841054145
Минск,Бобруйск,123.88450776465605
Минск,Витебск,195.47689590802327
Минск,Тирасполь,451.64192830560637
Минск,Солигорск,68.62966788904494
Минск,Кишинёв,428.6870273296754
Минск,Логойск,26.957061325278502
Минск,Лида,155.52695406616243
Минск,Смолевичи,35.891824517511914
Минск,Гомель,251.60457404199732
Минск,Гродно,258.2269684784049
Минск,Мозырь,161.14883002187705
Минск,Полоцк,128.74730461528955
Минск,Брест,291.7428734254588
Минск,Жлобин,180.73741951279135
Минск,Слоним,162.6858255818281
Минск,Пинск,149.2243816121595
Минск,Кобрин,243.67618446654507
Минск,Минск,0.0
Минск,Борисов (город),68.3217690305005
Минск,Орша,200.6366753247718
Минск,Молодечно,55.065262827018735
Гомель,Рогачёв,75.33400669616812
Гомель,Новополоцк,244.80299870193198
Гомель,Могилёв,97.88072938696378
Гомель,Славгород (Белоруссия),59.570782101132025
Гомель,Слуцк,238.99847097803098
Гомель,Хойники,77.13092692326441
Гомель,Калинковичи,115.14421700114883
Гомель,Барановичи,346.7634089042529
Гомель,Бобруйск,127.78833889333073
Гомель,Витебск,172.8233567003614
Гомель,Речица,41.22073444477089
Гомель,Буда-Кошелёво,33.037389631186706
Гомель,Солигорск,237.88080266310996
Гомель,Несвиж,300.97185996485035
Гомель,Лида,400.9859588136387
Гомель,Петриков,172.04755378022125
Гомель,Чечерск,28.574384074562023
Гомель,Гродно,499.1537758464327
Гомель,Туров,224.7748578517104
Гомель,Добруш,23.011955163783743
Гомель,Кричев,90.77960715801277
Гомель,Мозырь,122.80355603823726
Гомель,Василевичи,82.180620559571
Гомель,Ельск,131.71627516470488
Гомель,Полоцк,236.50228143216475
Гомель,Брест,504.9260009210987
Гомель,Жлобин,70.92188606359524
Гомель,Слоним,392.1744932124915
Гомель,Пинск,336.66873451844816
Гомель,Чериков,71.6809546029119
Гомель,Кобрин,455.81352878213926
