,country_label,population,inception,lat,long
Минск,Белоруссия,2009786,01.01.1067,27.561837,53.902246
Гомель,Белоруссия,510300,01.01.1142,30.983333333,52.441666666
Брест,Белоруссия,340318,01.01.1017,23.656944444,52.084722222
Гродно,Белоруссия,356900,01.01.1128,23.816666666,53.666666666
Вилейка,Белоруссия,27167,25.11.1460,26.916666666,54.483333333
Березино (город),Белоруссия,11450,01.01.1501,28.983333333,53.833333333
Крупки,Белоруссия,8540,01.01.1575,29.136111111,54.325
Молодечно,Белоруссия,91063,24.12.1388,26.851666666,54.313611111
Мядель,Белоруссия,7146,01.01.1324,26.938611111,54.875555555
Слуцк,Белоруссия,61396,01.01.1116,27.55,53.016666666
Солигорск,Белоруссия,100824,01.01.1958,27.5425,52.78416
Червень,Белоруссия,10734,01.01.1387,28.432222222,53.707777777
Бобруйск,Белоруссия,212200,01.01.1387,29.233333333,53.15
Орша,Белоруссия,106505,01.01.1067,30.425833333,54.509166666
Барановичи,Белоруссия,174183,01.01.1627,25.983333333,53.116666666
Лида,Белоруссия,103391,01.01.1323,25.302777777,53.887222222
Островец,Белоруссия,14147,01.01.1468,25.955277777,54.613611111
Туров,Белоруссия,2772,01.01.0980,27.736111111,52.069166666
Миоры,Белоруссия,7845,01.01.1514,27.616666666,55.616666666
Новогрудок,Белоруссия,28199,01.01.1044,25.816666666,53.583333333
Мозырь,Белоруссия,105439,01.01.1155,29.233333333,52.05
Ветка (город),Белоруссия,8426,01.01.1685,31.180833333,52.559166666
Жабинка,Белоруссия,14108,01.01.1816,24.023333333,52.200555555
Поставы,Белоруссия,19153,01.01.1409,26.833333333,55.116666666
Ивацевичи,Белоруссия,22522,01.01.1519,25.338888888,52.709166666
Петриков,Белоруссия,9986,01.01.1523,28.5,52.133333333
Дятлово (город),Белоруссия,8061,01.01.1498,25.4,53.45
Свислочь (город),Белоруссия,6323,01.01.1256,24.1,53.033333333
Круглое (город),Белоруссия,7530,01.01.1524,29.796638888,54.247936111
Славгород (Белоруссия),Белоруссия,7928,01.01.1136,30.996388888,53.445277777
Малорита,Белоруссия,12883,01.01.1566,24.080833333,51.797222222
Берёза (город),Белоруссия,28619,01.01.1477,24.9825,52.533333333
Речица,Белоруссия,66327,01.01.1213,30.38796,52.3724
Калинковичи,Белоруссия,37633,01.01.1560,29.333333333,52.133333333
Глубокое (город),Белоруссия,17790,01.01.1414,27.683333333,55.133333333
